device,dataset,lang,tld,trial,ipaddress,word,duration
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,14.245638847351074
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.1632325649261475
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921767473220825
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.163152933120727
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921497583389282
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,2.575373411178589
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.163220882415771
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.404621601104736
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921794652938843
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.84119987487793
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.84093165397644
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.438422918319702
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.599557399749756
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.921671152114868
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.760577917098999
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.002162218093872
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.841161489486694
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.163196325302124
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,7.082667350769043
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.760764837265015
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.841235637664795
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.92185640335083
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.760877847671509
echo,common,en,co.uk,1,192.168.137.14,hey_alexa,6.760775327682495
echo,common,en,co.uk,1,192.168.137.14,letter,1.85091757774353
echo,common,en,co.uk,1,192.168.137.14,workshop,16.4994113445282
echo,common,en,co.uk,1,192.168.137.14,connector,1.3678250312805171
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.082121610641479
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.243414878845215
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.840904474258423
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.439194440841675
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.921571969985962
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.760709524154663
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.760547399520874
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.243451356887817
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.841006517410278
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.162983655929565
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.841099500656128
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.757966756820679
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.923231601715088
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.919816017150879
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.760754585266113
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.679887771606445
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.760949373245239
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,1.931300401687622
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,2.011893033981323
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.921215295791626
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.599473714828491
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.921616554260254
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.001995325088501
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.9216132164001465
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.002082347869873
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.00211763381958
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.7607741355896
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.324153184890747
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.163002729415893
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.921649217605591
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,1.8509325981140132
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.921482801437378
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,8.048089027404785
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.162980079650879
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.162857532501221
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.083312511444092
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.921794652938843
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.760699987411499
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.840932130813599
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.438702821731567
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,6.841023206710815
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.16292142868042
echo,common,en,co.uk,3,192.168.137.14,hey_alexa,7.002053022384643
